令和３年経済センサス‐活動調査　事業所に関する集計－産業横断的集計－事業所数、従業者数,,,,,,,,,,,,,,,,,,,,
第３２－１－２７表　経営組織(5区分)別全事業所数及び従業者数－市区町村、町丁・大字,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織,経営組織
,,,,,0_総数,0_総数,1_民営,1_民営,11_個人,11_個人,12_法人,12_法人,121_会社,121_会社,122_会社以外の法人,122_会社以外の法人,13_法人でない団体,13_法人でない団体,2_国、地方公共団体,2_国、地方公共団体
,,,,,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計,事業所数,従業者数_男女計
,,,,,(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人),(事業所),(人)
市区町村・町丁大字コード,市区町村コード,都道府県名,市区町村名,町丁・大字名, ,,,,,,,,,,,,,,,
27102002900003000_大阪府大阪市都島区東野田町２丁目,27102,大阪府,大阪市都島区,東野田町２丁目,453,"5,309",453,"5,309",56,263,397,"5,046",382,"4,245",15,801,-,-,-,-
27102002900003100_大阪府大阪市都島区東野田町３丁目,27102,大阪府,大阪市都島区,東野田町３丁目,213,"1,557",213,"1,557",83,310,130,"1,247",123,"1,217",7,30,-,-,-,-
27102002900003200_大阪府大阪市都島区東野田町４丁目,27102,大阪府,大阪市都島区,東野田町４丁目,173,"3,868",172,"3,782",44,152,128,"3,630",116,"3,543",12,87,-,-,1,86
27102002900003300_大阪府大阪市都島区東野田町５丁目,27102,大阪府,大阪市都島区,東野田町５丁目,162,"1,168",161,"1,133",79,251,82,882,69,497,13,385,-,-,1,35
27102000200000200_大阪府大阪市都島区内代町１丁目,27102,大阪府,大阪市都島区,内代町１丁目,89,431,89,431,33,92,56,339,50,273,6,66,-,-,-,-
27102000200000300_大阪府大阪市都島区内代町２丁目,27102,大阪府,大阪市都島区,内代町２丁目,95,624,95,624,37,90,57,533,51,500,6,33,1,1,-,-
27102000200000400_大阪府大阪市都島区内代町３丁目,27102,大阪府,大阪市都島区,内代町３丁目,33,231,32,200,15,38,17,162,16,160,1,2,-,-,1,31
27102000200000500_大阪府大阪市都島区内代町４丁目,27102,大阪府,大阪市都島区,内代町４丁目,32,144,32,144,12,20,20,124,19,123,1,1,-,-,-,-
27102000600000600_大阪府大阪市都島区片町１丁目,27102,大阪府,大阪市都島区,片町１丁目,117,"1,067",117,"1,067",20,41,96,"1,025",87,907,9,118,1,1,-,-
27102000600000700_大阪府大阪市都島区片町２丁目,27102,大阪府,大阪市都島区,片町２丁目,217,"2,873",216,"2,748",46,171,170,"2,577",160,"2,491",10,86,-,-,1,125
27102000800000800_大阪府大阪市都島区毛馬町１丁目,27102,大阪府,大阪市都島区,毛馬町１丁目,40,409,40,409,10,27,30,382,25,344,5,38,-,-,-,-
27102000800000900_大阪府大阪市都島区毛馬町２丁目,27102,大阪府,大阪市都島区,毛馬町２丁目,84,798,82,730,42,117,40,613,33,515,7,98,-,-,2,68
27102000800001000_大阪府大阪市都島区毛馬町３丁目,27102,大阪府,大阪市都島区,毛馬町３丁目,15,149,13,87,3,4,10,83,9,79,1,4,-,-,2,62
27102000800001100_大阪府大阪市都島区毛馬町４丁目,27102,大阪府,大阪市都島区,毛馬町４丁目,29,155,29,155,13,26,16,129,14,80,2,49,-,-,-,-
27102000800001200_大阪府大阪市都島区毛馬町５丁目,27102,大阪府,大阪市都島区,毛馬町５丁目,30,476,29,384,4,14,25,370,23,333,2,37,-,-,1,92
27102000100000100_大阪府大阪市都島区網島町,27102,大阪府,大阪市都島区,網島町,54,787,53,766,11,19,42,747,32,574,10,173,-,-,1,21
27102002100002100_大阪府大阪市都島区友渕町１丁目,27102,大阪府,大阪市都島区,友渕町１丁目,108,"1,234",104,516,22,54,81,461,74,347,7,114,1,1,4,718
27102002100002200_大阪府大阪市都島区友渕町２丁目,27102,大阪府,大阪市都島区,友渕町２丁目,114,"1,360",113,"1,348",30,178,83,"1,170",80,"1,151",3,19,-,-,1,12
27102002100002300_大阪府大阪市都島区友渕町３丁目,27102,大阪府,大阪市都島区,友渕町３丁目,54,747,54,747,13,31,39,705,36,631,3,74,2,11,-,-
27102999999999999_大阪府大阪市都島区その他,27102,大阪府,大阪市都島区,その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27103_大阪府大阪市福島区,27103,大阪府,大阪市福島区,,"4,845","61,968","4,798","59,396","1,312","3,921","3,463","55,417","3,191","50,350",272,"5,067",23,58,47,"2,572"
27103000100000100_大阪府大阪市福島区海老江１丁目,27103,大阪府,大阪市福島区,海老江１丁目,154,"4,462",153,"4,421",19,74,132,"4,337",127,"4,258",5,79,2,10,1,41
27103000100000200_大阪府大阪市福島区海老江２丁目,27103,大阪府,大阪市福島区,海老江２丁目,71,918,71,918,20,70,51,848,42,498,9,350,-,-,-,-
27103000100000300_大阪府大阪市福島区海老江３丁目,27103,大阪府,大阪市福島区,海老江３丁目,69,"1,048",69,"1,048",17,26,52,"1,022",51,"1,021",1,1,-,-,-,-
27103000100000400_大阪府大阪市福島区海老江４丁目,27103,大阪府,大阪市福島区,海老江４丁目,23,90,23,90,11,25,12,65,11,60,1,5,-,-,-,-
27103000100000500_大阪府大阪市福島区海老江５丁目,27103,大阪府,大阪市福島区,海老江５丁目,105,983,105,983,29,86,75,897,72,870,3,27,1,-,-,-
27103000100000600_大阪府大阪市福島区海老江６丁目,27103,大阪府,大阪市福島区,海老江６丁目,49,523,47,461,11,22,36,439,27,265,9,174,-,-,2,62
27103000100000700_大阪府大阪市福島区海老江７丁目,27103,大阪府,大阪市福島区,海老江７丁目,98,713,98,713,31,121,67,592,63,558,4,34,-,-,-,-
27103000100000800_大阪府大阪市福島区海老江８丁目,27103,大阪府,大阪市福島区,海老江８丁目,55,498,52,466,14,32,38,434,35,393,3,41,-,-,3,32
27103003700003700_大阪府大阪市福島区吉野１丁目,27103,大阪府,大阪市福島区,吉野１丁目,139,"1,833",139,"1,833",35,90,104,"1,743",96,"1,220",8,523,-,-,-,-
27103003700003800_大阪府大阪市福島区吉野２丁目,27103,大阪府,大阪市福島区,吉野２丁目,186,"1,394",186,"1,394",90,222,96,"1,172",89,985,7,187,-,-,-,-
27103003700003900_大阪府大阪市福島区吉野３丁目,27103,大阪府,大阪市福島区,吉野３丁目,162,"1,351",158,"1,243",58,215,97,"1,017",86,916,11,101,3,11,4,108
27103003700004000_大阪府大阪市福島区吉野４丁目,27103,大阪府,大阪市福島区,吉野４丁目,157,"1,628",156,"1,463",45,129,108,"1,331",92,"1,087",16,244,3,3,1,165
27103003700004100_大阪府大阪市福島区吉野５丁目,27103,大阪府,大阪市福島区,吉野５丁目,71,732,70,690,11,52,59,638,55,527,4,111,-,-,1,42
27103001900001900_大阪府大阪市福島区玉川１丁目,27103,大阪府,大阪市福島区,玉川１丁目,62,806,61,753,7,14,54,739,47,640,7,99,-,-,1,53
27103001900002000_大阪府大阪市福島区玉川２丁目,27103,大阪府,大阪市福島区,玉川２丁目,67,828,65,732,13,41,52,691,43,506,9,185,-,-,2,96
27103001900002100_大阪府大阪市福島区玉川３丁目,27103,大阪府,大阪市福島区,玉川３丁目,59,629,59,629,18,71,41,558,39,554,2,4,-,-,-,-
27103001900002200_大阪府大阪市福島区玉川４丁目,27103,大阪府,大阪市福島区,玉川４丁目,95,656,95,656,29,92,65,562,53,493,12,69,1,2,-,-
27103001300001300_大阪府大阪市福島区鷺洲１丁目,27103,大阪府,大阪市福島区,鷺洲１丁目,77,"2,101",77,"2,101",27,91,50,"2,010",48,"1,965",2,45,-,-,-,-
27103001300001400_大阪府大阪市福島区鷺洲２丁目,27103,大阪府,大阪市福島区,鷺洲２丁目,101,560,101,560,44,97,57,463,50,362,7,101,-,-,-,-
27103001300001500_大阪府大阪市福島区鷺洲３丁目,27103,大阪府,大阪市福島区,鷺洲３丁目,74,378,74,378,29,125,45,253,43,222,2,31,-,-,-,-
27103001300001600_大阪府大阪市福島区鷺洲４丁目,27103,大阪府,大阪市福島区,鷺洲４丁目,37,365,37,365,11,31,26,334,25,329,1,5,-,-,-,-
27103001300001700_大阪府大阪市福島区鷺洲５丁目,27103,大阪府,大阪市福島区,鷺洲５丁目,60,712,58,660,8,51,50,609,47,596,3,13,-,-,2,52
27103001300001800_大阪府大阪市福島区鷺洲６丁目,27103,大阪府,大阪市福島区,鷺洲６丁目,6,70,5,30,-,-,5,30,5,30,-,-,-,-,1,40
27103000900000900_大阪府大阪市福島区大開１丁目,27103,大阪府,大阪市福島区,大開１丁目,165,"1,038",164,876,90,214,74,662,65,551,9,111,-,-,1,162
27103000900001000_大阪府大阪市福島区大開２丁目,27103,大阪府,大阪市福島区,大開２丁目,106,876,104,712,35,73,69,639,65,586,4,53,-,-,2,164
27103000900001100_大阪府大阪市福島区大開３丁目,27103,大阪府,大阪市福島区,大開３丁目,86,902,86,902,23,53,63,849,62,842,1,7,-,-,-,-
27103000900001200_大阪府大阪市福島区大開４丁目,27103,大阪府,大阪市福島区,大開４丁目,29,"1,023",29,"1,023",-,-,29,"1,023",28,813,1,210,-,-,-,-
27103002900002900_大阪府大阪市福島区福島１丁目,27103,大阪府,大阪市福島区,福島１丁目,220,"3,600",209,"2,595",60,180,147,"2,412",140,"2,347",7,65,2,3,11,"1,005"
27103002900003000_大阪府大阪市福島区福島２丁目,27103,大阪府,大阪市福島区,福島２丁目,180,"2,562",180,"2,562",64,176,116,"2,386",109,"2,233",7,153,-,-,-,-
27103002900003100_大阪府大阪市福島区福島３丁目,27103,大阪府,大阪市福島区,福島３丁目,155,"1,549",154,"1,538",47,141,106,"1,389",101,"1,377",5,12,1,8,1,11
27103002900003200_大阪府大阪市福島区福島４丁目,27103,大阪府,大阪市福島区,福島４丁目,101,"2,087",99,"2,031",12,42,86,"1,979",78,854,8,"1,125",1,10,2,56
27103002900003300_大阪府大阪市福島区福島５丁目,27103,大阪府,大阪市福島区,福島５丁目,389,"5,162",389,"5,162",100,328,287,"4,832",270,"4,740",17,92,2,2,-,-
27103002900003400_大阪府大阪市福島区福島６丁目,27103,大阪府,大阪市福島区,福島６丁目,217,"3,242",217,"3,242",42,157,174,"3,084",161,"2,960",13,124,1,1,-,-
27103002900003500_大阪府大阪市福島区福島７丁目,27103,大阪府,大阪市福島区,福島７丁目,359,"5,999",358,"5,968",103,337,254,"5,630",242,"5,492",12,138,1,1,1,31
