店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所
フォルクス 中環千里店,山田駅 801m,ファミレス、ステーキ、ハンバーグ,どなたにもお気軽にお楽しみいただけるごちそう☆★ステーキを食べるなら断然【VOLKS】,3.08,74,661,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市津雲台7-66-12
MESON Hasta Manana,吹田（ＪＲ）駅 298m,スペイン料理、居酒屋、海鮮,御予約のお客様に時間制限はありません。 閉店時間は22:00ですので宜しくお願い致します。,3.25,43,2476,"￥3,000～￥3,999",-,大阪府吹田市朝日町25-1
精肉卸問屋直営焼肉店 牛次郎 江坂店,江坂駅 569m,焼肉、ホルモン、居酒屋,精肉卸直営が体現する『A5黒毛和牛』にこだわり抜いた話題の焼肉店。【江坂駅徒歩5分】,3.38,155,6358,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市江坂町2-2-9 清洲江坂ビル 1F
good spoon 江坂公園店,江坂駅 159m,イタリアン、カフェ、スペイン料理,【ビアガーデン・歓送迎会・女子会・誕生日会にも♫江坂公園内のイタリアンレストラン】,3.44,345,8454,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市江坂町1-19-38
うたた屋,江坂駅 437m,焼き鳥、鳥料理、居酒屋,【完全個室有り】手間暇かけた本格的な焼鳥を気軽な雰囲気でゆったり堪能,3.54,127,5175,"￥5,000～￥5,999",-,大阪府吹田市江の木町8-12 第2足立ビル
韓国料理専門店チカチキン 江坂店,江坂駅 488m,韓国料理、居酒屋,歓送迎会ご予約受付中！韓国人が作る絶品チキンやサムギョプサルをお酒と共に♪団体貸切りも歓迎,3.09,23,472,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市江坂町2-6-14 1F
江坂ビストロ リアン,江坂駅 275m,ビストロ、パスタ、ハンバーグ,【江の木公園前】ビストロを味わう。平日は19時までハッピーアワー開催中◎個室もございます！,3.52,175,5630,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市江の木町2-26 カンパニオ江坂 2F
敦煌 江坂店,江坂駅 181m,中華料理、居酒屋、アジア・エスニック,【江坂駅より徒歩3分】4名～40名様まで大小個室完備◎『飲放付コース』も充実♪5600円～,3.27,106,2079,"￥3,000～￥3,999",～￥999,大阪府吹田市江坂町1-22-12
一級 江坂本店,江坂駅 437m,もつ鍋、居酒屋、スポーツバー,メディアも紹介の極上《博多もつ鍋》《団体様OK》極上もつ鍋など幅広い鍋を楽しめます,3.3,111,4677,"￥3,000～￥3,999",-,大阪府吹田市江の木町8-12 足立第二ビル　１Ｆ
江坂海鮮食堂 はなれ おーうえすと,江坂駅 110m,居酒屋、海鮮、寿司,【江坂駅すぐ！毎日通し営業で昼飲み大歓迎✨】全国から極上の鮮魚が集まる海鮮居酒屋食堂っ❗️,3.21,33,757,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市江坂町1-22-10 梓ビル 1F F
