店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
プラガティ,吹田（阪急）駅 388m,インド料理、ネパール料理,,3.08,14,108,-,"￥1,000～￥1,999",大阪府吹田市泉町2-47-28,34.757523,135.514038
cafe may,千里丘駅 603m,カフェ,,3.07,7,249,-,-,大阪府吹田市長野東14-7,34.791805,135.544769
ミルフィーユ 本店,吹田市,ケーキ,,3.35,96,1541,"￥1,000～￥1,999",-,大阪府吹田市五月が丘北25-38,34.787052,135.526169
洋食 curilu,山田駅 705m,洋食,,3.09,17,364,-,～￥999,大阪府吹田市津雲台7-5-10,34.805748,135.507812
オリエント,吹田（ＪＲ）駅 100m,カフェ,,3.12,12,233,-,～￥999,大阪府吹田市朝日町2-101 イオン吹田店専門店街 2F,34.763054,135.525436
駅うどん　吹田店,吹田（ＪＲ）駅 54m,うどん、そば、天ぷら,,3.24,47,295,～￥999,～￥999,大阪府吹田市朝日町1 吹田さんくす１番館　１階,34.763145,135.524002
あほや 亥の子谷店,吹田市,たこ焼き,,3,5,44,-,-,大阪府吹田市五月が丘東13-5,34.788776,135.529373
カフェ エイト,江坂駅 465m,カフェ,,3.31,56,937,-,"￥1,000～￥1,999",大阪府吹田市垂水町3-24-14,34.7598,135.501068
大阪大学生活協同組合 購買工学部店,阪大病院前駅 882m,その他,,3,1,3,-,-,大阪府吹田市山田丘2-1,34.81937,135.527527
割烹・寿司 むろ井,吹田（ＪＲ）駅 240m,日本料理、寿司,,3.03,6,74,-,-,大阪府吹田市朝日町15-6,34.761951,135.525894
喫茶パンダ 北千里店,北千里駅 230m,喫茶店,,3.05,8,66,-,～￥999,大阪府吹田市古江台4-2,34.820385,135.509125
ディノア,関大前駅 676m,学生食堂,,3.08,20,146,-,～￥999,大阪府吹田市千里山東3-10-1 関西大学千里山キャンパス 凛風館 2F,34.77549,135.510696
あびる寿司,江坂駅 623m,寿司,,3.18,30,610,"￥4,000～￥4,999",-,大阪府吹田市垂水町3-10-20 雅ビル　１Ｆ,34.76207,135.502319
The Spice House,岸辺駅 168m,インドカレー,,,,,-,-,大阪府吹田市岸部南1-17-8,34.775932,135.542801
バー マクレーン,吹田（ＪＲ）駅 256m,バー,,,1,18,-,-,大阪府吹田市昭和町10-22,34.762878,135.526428
スシロー 南吹田店,南吹田駅 378m,寿司、回転寿司,,3.04,43,169,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市穂波町21-19,34.753296,135.511322
天ぷらの山 吹田グリーンプレイス店,吹田（ＪＲ）駅 408m,天ぷら,,3.4,103,1505,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市片山町2-3-3 吹田グリーンプレイス,34.765167,135.519424
ヒロ コーヒー 本店,江坂駅 286m,喫茶店、ケーキ,,3.23,308,7056,-,～￥999,大阪府吹田市広芝町9-19,34.756123,135.498322
ながた,吹田（ＪＲ）駅 658m,そば、親子丼、かつ丼,,3.14,31,331,-,～￥999,大阪府吹田市日の出町1-4 1F,34.763393,135.530884
ハラペコぼうや,吹田（阪急）駅 192m,カフェ,,3.04,5,121,-,-,大阪府吹田市泉町1-15-2,34.758263,135.516205
ピッツァリア アッセ 吹田片山店,吹田（ＪＲ）駅 475m,ピザ、イタリアン、パスタ,,3.17,52,936,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市片山町2-3-15 吹田グリーンプレイス,34.764339,135.51944
コトブキヤ,関大前駅 159m,パブ,,3.01,1,11,-,-,大阪府吹田市円山町20-25,34.769722,135.506744
台湾茶房 婉,吹田市,台湾料理,,3.15,16,843,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市五月が丘南32-1 ハイタウン樽澤 105,34.781796,135.524017
make noodle かしぐ,江坂駅 272m,ラーメン,,3.52,254,5872,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町1-20-30 キャロル江坂 1F,34.758343,135.499939
パネテリア フラゴラ,関大前駅 404m,パン,,3.11,16,406,-,-,大阪府吹田市千里山東1-17-39,34.774616,135.506027
ナゲット ナゲット,万博記念公園駅 392m,鳥料理,,3.1,29,267,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園10 お祭り広場横,34.814037,135.52417
タリーズコーヒー ららぽーとEXPOCITY店,万博記念公園駅 468m,カフェ,,3.06,40,178,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 3F,34.805485,135.53392
セブンイレブン ハートインJR岸辺駅改札口,岸辺駅 19m,コンビニ・スーパー,,3.01,3,10,"￥1,000～￥1,999",～￥999,大阪府吹田市岸部南1-16-1 駅改札外,34.776768,135.541824
シラス,関大前駅 257m,串揚げ,,3.08,15,558,-,-,大阪府吹田市千里山西1-15-34,34.773228,135.505554
サニーストンホテル,江坂駅 179m,ホテル,,3.08,8,49,-,-,大阪府吹田市広芝町10-3,34.757229,135.49794
ファミリーマート 吹田青葉丘店,宇野辺駅 234m,コンビニ・スーパー,,3,1,4,-,-,大阪府吹田市青葉丘南1-33,34.80621,135.555038
純華楼 江坂店,江坂駅 438m,中華料理、四川料理,,3.33,78,4932,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂江の木町8-12 足立第二ビル 1F,34.760906,135.499023
五右衛門 吹田店,吹田市,パスタ,,3.05,29,205,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市佐井寺南が丘10-3,34.780422,135.518478
鶏白湯そば 岸良,吹田市,ラーメン,,3.48,182,3288,"￥1,000～￥1,999",～￥999,大阪府吹田市五月が丘北2-16,34.789856,135.526779
エサカイタリアン オカムー,江坂駅 388m,イタリアン、ピザ,,3.36,85,4505,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府吹田市豊津町23-5,34.759949,135.493225
KOHYO 江坂店,江坂駅 192m,コンビニ・スーパー,,3,2,36,-,-,大阪府吹田市江の木町1-30,34.757042,135.496002
江坂ひとときテラス,江坂駅 580m,カフェ,,3.12,14,753,-,"￥1,000～￥1,999",大阪府吹田市江坂町2-2-15,34.763588,135.495377
和み,阪大病院前駅 613m,カフェ,,3.09,12,79,-,～￥999,大阪府吹田市千里万博公園9-2,34.815308,135.52684
炭火焼肉　元喜,吹田市,焼肉、ホルモン、韓国料理,,3.04,9,361,"￥3,000～￥3,999",-,大阪府吹田市五月が丘北2-52-112 千里スカイラーク　１Ｆ,34.789963,135.524872
三駒寿司,吹田市,寿司,,3.02,1,43,-,-,大阪府吹田市山田南21-7,34.788296,135.536438
キッチンオリジン 吹田店,吹田（ＪＲ）駅 244m,弁当,,3,1,10,-,-,大阪府吹田市朝日町15-24,34.761295,135.524963
ドミノ・ピザ 吹田岸部店,岸辺駅 805m,ピザ,,3,1,8,-,-,大阪府吹田市岸部中2-4-11,34.776764,135.532761
仁平,吹田（ＪＲ）駅 491m,居酒屋,,,6,,-,-,大阪府吹田市片山町4-2-12,34.767441,135.525009
うまから本舗 関大前店,関大前駅 332m,からあげ、食堂,,3.04,6,125,～￥999,～￥999,大阪府吹田市千里山東1-9-13,34.773479,135.508118
さくらじま,千里丘駅 578m,居酒屋,,,18,,-,-,大阪府吹田市長野東14-4,34.79158,135.544907
森の洋食 グリルみんぱく,万博記念公園駅 626m,洋食、ファミレス、カフェ,,3.22,34,311,-,"￥1,000～￥1,999",大阪府吹田市千里万博公園10-1 国立民族学博物館 1F,34.814037,135.52417
Le Porc,千里丘駅 591m,イタリアン、創作料理,,3.18,19,975,-,"￥1,000～￥1,999",大阪府吹田市長野東14-5,34.791653,135.544861
プチプランス クグロフ ららぽーとEXPOCITY店,万博記念公園駅 535m,ケーキ、カフェ,,3.13,83,745,～￥999,～￥999,大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY,34.805485,135.53392
焼肉味園 江坂駅前店,江坂駅 74m,焼肉,,3.56,77,2326,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市豊津9-15 日本興業ビル 3F,34.759769,135.492767
#acai BOWL,関大前駅 428m,スイーツ,,3.07,7,49,-,-,大阪府吹田市千里山東1-18-14,34.775112,135.506195
ツインリバーブ,江坂駅 430m,バー,,3.04,3,31,-,-,大阪府吹田市江の木町8-24 小川ビル 1F,34.757515,135.492538
レストランバー 雅,江坂駅 56m,ダイニングバー、バー、鍋,,,28,,"￥4,000～￥4,999",-,大阪府吹田市江坂町1-23-35 コーポ江坂ビル 4F,34.758148,135.49736
大阪大学医学部附属病院一般食堂,阪大病院前駅 187m,食堂,,3.09,27,193,-,～￥999,大阪府吹田市山田丘2-15 大阪大学医学部附属病院 1F,34.81937,135.527527
ルマタン・ドゥ・ラヴィ,山田駅 579m,パン、サンドイッチ,,3.51,93,5480,-,-,大阪府吹田市山田西3-57-16,34.802101,135.521652
ファミリーマート 佐井寺南が丘店,吹田市,コンビニ・スーパー,,3.02,1,4,-,-,大阪府吹田市佐井寺南が丘9-6,34.779835,135.517471
無添くら寿司 江坂店,緑地公園駅 683m,回転寿司,,3.04,45,273,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市江坂町5-15-10,34.769451,135.497162
イズミヤ 千里丘店,吹田市,コンビニ・スーパー,,,1,10,-,-,大阪府吹田市山田南1-1,34.788815,135.538727
憩,岸辺駅 871m,喫茶店,,,9,,-,-,大阪府吹田市岸部中2-2-27,34.776665,135.532196
らーめん鱗 江坂店,江坂駅 312m,ラーメン,,3.48,467,8919,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市豊津町16-5,34.757771,135.493988
播磨屋本店 大阪江坂店,江坂駅 304m,和菓子、甘味処、カフェ,,3.08,44,791,-,"￥3,000～￥3,999",大阪府吹田市江の木町17-1 江坂全日空ビル 1F,34.755962,135.496613
キャッスル,豊津駅 862m,パン、サンドイッチ、洋菓子,,3.08,14,287,-,-,大阪府吹田市 南金田1-3-30,34.756676,135.507217
鮨処 水無月,江坂駅 625m,寿司、海鮮,,3.58,35,3335,"￥8,000～￥9,999",-,大阪府吹田市江坂町1-12-1 家村ビル,34.764133,135.498489
Crepe Shop SARU 江坂駅前店,江坂駅 125m,クレープ・ガレット,,,14,,-,-,大阪府吹田市豊津町10-7 アカツキハイツ 1F,34.759228,135.495987
ガルル珈琲,吹田市,カフェ、喫茶店,,3.49,236,6779,～￥999,～￥999,大阪府吹田市上山手町26-7,34.777748,135.517761
エ プロント ビエラ岸辺健都店,岸辺駅 233m,カフェ、パン、バー,,3.05,42,327,～￥999,～￥999,大阪府吹田市岸部新町5-45 VIERRA岸辺健都 2F,34.77626,135.537354
IZAKAYA マウンテン,吹田市,串揚げ、居酒屋,,3.05,3,45,"￥3,000～￥3,999",-,大阪府吹田市山田東1-23-21,34.793884,135.535767
三楽,江坂駅 520m,居酒屋,,3.07,10,456,"￥3,000～￥3,999",-,大阪府吹田市垂水町3-31-31,34.759132,135.502792
ケンタッキーフライドチキン 吹田店,吹田（ＪＲ）駅 225m,からあげ,,3.01,10,42,-,-,大阪府吹田市朝日町15-3,34.762104,135.525681
Cafe&Bal Magis,江坂駅 621m,カフェ,,3.17,25,798,"￥1,000～￥1,999",～￥999,大阪府吹田市垂水町3-10-20 1F,34.76207,135.502319
おやつのusamame,千里山駅 58m,スイーツ,,3,3,23,-,-,大阪府吹田市千里山西5-2-5 アクネビル 1F,34.778744,135.504761
Hilo’s Wagon,関大前駅 580m,スイーツ、ピザ、タコス,,,1,1,-,-,大阪府吹田市山手町3-3-35 関西大学 千里山キャンパス,34.769669,135.510162
とり琉 桃山台駅ビル店,桃山台駅 45m,焼き鳥,,3.07,9,117,"￥2,000～￥2,999",-,大阪府吹田市桃山台5-1-C20 senri MOMOSTA B1F,34.792431,135.497375
