店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
豆狸 千里阪急店,千里中央駅 292m,いなり寿司,,3.01,8,87,～￥999,-,大阪府豊中市新千里東町1-5-1 千里阪急 B1F,34.808746,135.49588
鳥貴族 せんちゅうパル店,千里中央駅 271m,焼き鳥,,3.05,22,181,"￥3,000～￥3,999",-,大阪府豊中市新千里東町1-3 せんちゅうパル 3F 324-1区画,34.808842,135.494934
まほろばてい 蛍池店,蛍池駅 725m,中華料理、ラーメン,,3.29,37,748,～￥999,～￥999,大阪府豊中市清風荘1-3-10,34.801018,135.44783
LAWSON 豊中神州町店,神崎川駅 599m,コンビニ・スーパー,,3,2,7,-,-,大阪府豊中市神州町2-77,34.734482,135.470901
セブンイレブン 豊中新千里南町2丁目店,桃山台駅 589m,コンビニ・スーパー,,3,3,5,-,-,大阪府豊中市新千里南町2-5-14,34.79652,135.49321
すし寅,岡町駅 118m,寿司,,3.08,9,158,-,-,大阪府豊中市岡町北1-2-8,34.779816,135.46373
鰻の成瀬 豊中店,豊中駅 138m,うなぎ,,3.03,14,529,-,-,大阪府豊中市本町1-2-49,34.787102,135.462646
純喫茶ルヴァン,服部天神駅 609m,喫茶店,,,2,90,-,～￥999,大阪府豊中市服部南町3-9-12,34.758389,135.475266
鯨肉専門店 くじらの田井,庄内駅 74m,その他,,3.01,1,67,-,-,大阪府豊中市庄内東町1-7-19 豊南市場,34.750347,135.47583
鶏幸,服部天神駅 73m,焼き鳥,,3.09,8,331,"￥3,000～￥3,999",-,大阪府豊中市服部西町1-2-29,34.763294,135.47438
昼呑み 丸屋 庄内銀座酒場,庄内駅 33m,居酒屋、串揚げ、海鮮,,3.08,13,438,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市庄内東町1-7-39,34.750347,135.47583
駅前スタンド 庄内屋,庄内駅 115m,ダイニングバー,,,10,,-,-,大阪府豊中市庄内東町1-4-20,34.751446,135.475708
お酒の美術館 千里中央店,千里中央駅 150m,バー,,3.03,12,91,"￥1,000～￥1,999",-,大阪府豊中市新千里東町1-3 せんちゅうパル 1F,34.808842,135.494934
和風スナック やさ,蛍池駅 134m,喫茶店、日本料理、バー,,3.06,5,63,-,"￥1,000～￥1,999",大阪府豊中市蛍池東町1-2-9 ビジネスホテルつじ井 1F,34.793304,135.450378
天津甘栗専門店 テンシン,豊中駅 963m,スイーツ,,,1,42,-,-,大阪府豊中市本町8-7-23,34.79266,135.469589
ふる里,豊中市,お好み焼き、食堂、居酒屋,,3.03,3,41,-,-,大阪府豊中市北条町2-26-11,34.767391,135.486481
晴レル夜Curry,緑地公園駅 220m,カレー,,3.04,5,137,-,-,大阪府豊中市東寺内町 14-28-101,34.776497,135.498138
ニジイロ食堂,豊中駅 541m,食堂、居酒屋,,3.44,146,6327,"￥5,000～￥5,999",-,大阪府豊中市岡上の町1-9-1,34.784267,135.466156
小田茂信の店,豊中駅 536m,郷土料理、居酒屋、焼酎バー,,3.18,20,1263,"￥6,000～￥7,999",-,大阪府豊中市本町6-1-1,34.790089,135.467148
かっぱ寿司 豊中上新田店,千里中央駅 789m,回転寿司,,3.03,21,131,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市上新田4-5-5-2,34.803204,135.501831
ふじ寿し,庄内駅 995m,寿司,,,1,,-,-,大阪府豊中市庄内栄町5-4-11,34.743698,135.467987
酒菜鮮房にし家,豊中駅 207m,居酒屋,,3.09,7,167,-,-,大阪府豊中市本町1-3-3,34.786175,135.463409
移転Point,豊中市,フレンチ,,4.17,81,10926,"￥20,000～￥29,999","￥10,000～￥14,999",大阪府豊中市上野東2-17-47,34.791599,135.475525
お好み焼き 妙ちゃん,桃山台駅 558m,お好み焼き,,,51,,-,-,大阪府豊中市千里南町3-1-18 ローリエ千里 104,34.791489,135.455917
日和,岡町駅 105m,和菓子,,3,4,34,-,-,大阪府豊中市岡町8-17,34.780125,135.465744
満,庄内駅 107m,お好み焼き,,,5,,-,-,大阪府豊中市庄内東町1-6-2,34.750973,135.47554
泡家系ラーメン 薩摩家 2号店,岡町駅 726m,ラーメン,,3.12,54,1481,～￥999,～￥999,大阪府豊中市宝山町23-11,34.776676,135.457977
弁当屋 りあん 豊中店,服部天神駅 691m,弁当,,3,1,2,-,-,大阪府豊中市浜1-26-1,34.763432,135.483109
あげた亭,庄内駅 311m,弁当,,3.02,6,150,-,-,大阪府豊中市庄内西町3-15-5,34.747974,135.473068
おたべ 大阪国際空港店,大阪空港駅 107m,和菓子,,3.03,12,40,-,-,大阪府豊中市蛍池西町3-555 大阪国際空港 2F,34.787849,135.444946
肉のマルトヨ数磨,豊中駅 784m,惣菜・デリ,,3.04,3,56,-,-,大阪府豊中市本町6-7-8,34.791122,135.468445
モスバーガー 豊中名神口店,豊中市,ハンバーガー,,3.04,22,75,-,～￥999,大阪府豊中市名神口1-1-1,34.757328,135.465225
鮨 こだん,少路（大阪モノレール）駅 523m,寿司,,3.48,23,1542,"￥10,000～￥14,999","￥10,000～￥14,999",大阪府豊中市上野坂2-1-19,34.800655,135.471924
マクドナルド １７６庄内店,庄内駅 476m,ハンバーガー,,3.03,10,54,-,～￥999,大阪府豊中市庄内西町5-1-7,34.74498,135.475403
酣処それなり,庄内駅 168m,立ち飲み,,3.02,2,10,-,-,大阪府豊中市庄内東町2-3-10,34.748798,135.475662
たつみ,庄内駅 120m,食堂,,3,2,16,-,-,大阪府豊中市庄内東町4-2-28,34.749844,135.476776
来夢来人,岡町駅 64m,中華料理、ラーメン、つけ麺,,3.68,182,6603,"￥1,000～￥1,999",～￥999,大阪府豊中市中桜塚1丁目2-4,34.779503,135.46579
酒のたしなみ田矢,服部天神駅 112m,居酒屋,,3.04,7,97,-,-,大阪府豊中市服部西町1-3-33,34.763283,135.473724
丹洛,豊中市,和菓子,,3.07,13,314,-,-,大阪府豊中市小曽根2-1-9,34.763809,135.48642
しらすや,豊中市,その他,,3.02,5,132,-,-,大阪府豊中市東豊中町5-1-15,34.79718,135.484512
王様印 蛍池店,蛍池駅 39m,スイーツ、たい焼き・大判焼き、和菓子,,3.02,3,112,～￥999,～￥999,大阪府豊中市蛍池中町3-1 大阪モノレール蛍池駅,34.793949,135.449509
京都キョーワズ珈琲 イオンSENRITO店,千里中央駅 126m,喫茶店,,3.01,4,23,-,-,大阪府豊中市新千里東町1-1-3 イオンSENRITO専門館 2F,34.808811,135.494156
一福 豊中緑地公園店,緑地公園駅 122m,ラーメン、担々麺,,3.39,111,1633,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市寺内2-13-7,34.773201,135.49472
やきとり育郎,服部天神駅 295m,焼き鳥,,3.03,4,63,-,-,大阪府豊中市服部豊町1-3-15,34.764065,135.472641
ブールミッシュ 岡町店,岡町駅 325m,ケーキ、マカロン、洋菓子,,3,4,58,-,-,大阪府豊中市中桜塚2-18-4,34.780064,135.468201
Imo Shop Tom,服部天神駅 93m,スイーツ,,3.05,3,47,-,-,大阪府豊中市服部豊町1-2-2,34.764099,135.473816
炭火酒場おにまる,庄内駅 158m,居酒屋,,3.04,2,27,-,-,大阪府豊中市庄内東町2-2-12,34.749065,135.47583
サウスウッド,岡町駅 655m,洋食、カフェ、ケーキ,,3.37,91,6058,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市岡町南3-5-7,34.776855,135.459137
バー チェット,豊中駅 136m,バー,,,37,,"￥2,000～￥2,999",-,大阪府豊中市本町1-12-30 丸本ビル 3F,34.788456,135.462692
松葉亭,豊中市,かに,,3.51,18,1473,"￥20,000～￥29,999",-,大阪府豊中市東豊中町4-16-10,34.799301,135.485291
豊麺 服部店,服部天神駅 54m,ラーメン、油そば・まぜそば,,3.04,9,92,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市服部豊町1-1-3,34.764015,135.474686
TS FIVE COFFEE ROASTERS,桃山台駅 565m,カフェ,,,1,13,-,-,大阪府豊中市新千里南町3-1-13 103,34.795811,135.492798
森のおはぎ,岡町駅 359m,和菓子,,3.62,359,18070,～￥999,-,大阪府豊中市中桜塚2-25-10,34.779697,135.468475
ディアローゴ,豊中駅 109m,カフェ,,3.12,33,919,-,～￥999,大阪府豊中市本町1-11-48,34.788216,135.461884
居酒屋 繁,庄内駅 121m,居酒屋,,3.02,1,9,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府豊中市庄内西町2-20-5,34.750507,135.47319
